n,Method,Unordered List, Ordered List, Binary Search Tree, Trie, HashMap
100,exactMatches,20100,14200,20300,14500,12600
100,allMatches,2388700,3555700,267800,4063300,110500
1000,exactMatches,171300,20700,5700,6000,2200
1000,allMatches,425800,1243100,408600,8759200,157300
10000,exactMatches,1052600,131300,9100,4400,4900
10000,allMatches,1703900,191322300,2282900,31887600,1128700
50000,exactMatches,5587400,339900,12100,41200,3500
50000,allMatches,9193400,2946112600,8332900,46795300,7214700
100000,exactMatches,1603800,12475400,254200,246600,156600
100000,allMatches,5670700,328283546300,41040700,294988500,74007100
